title	category	speaker	date	url
网络时代的教材变革与调动主动学习的方法	教师教学发展工作坊	余刚	2017-10-24	http://news.cqu.edu.cn/newsv2/show-24-379-1.html
新加坡南洋理工大学陈晓东教授学术讲座	工程科学前沿讲坛	陈晓东	2017-10-23	http://news.cqu.edu.cn/newsv2/show-24-374-1.html
全德华人机电工程学会专家讲座	汽车工程前沿讲坛	周文亮	2017-10-21	http://news.cqu.edu.cn/newsv2/show-24-377-1.html
日本东京大学月桥文孝教授学术讲座	工程科学前沿讲坛	Fumitaka Tsukihashi	2017-10-19	http://news.cqu.edu.cn/newsv2/show-24-369-1.html
Professor D.V. Griffiths的关于Risk Assessment in Geotechnical Engineering报告会	重大讲座	Professor D.V. Griffiths	2017-10-19	http://news.cqu.edu.cn/newsv2/show-24-378-1.html
剑桥大学Ekhard Salje院士学术讲座	工程科学前沿讲坛	Ekhard Salje	2017-10-18	http://news.cqu.edu.cn/newsv2/show-24-375-1.html
第六届全国高校软件工程专业教育年会（NSEC 2017）	工程科学前沿讲坛	教育部高等学校软件工程专业教学指导委员会、示范性软件学院联盟、高等教育出版社、重庆大学软件学院	2017-10-14	http://news.cqu.edu.cn/newsv2/show-24-372-1.html
美国爱荷华州立大学终身教授学术讲座	汽车工程前沿讲坛	张洪伟	2017-10-13	http://news.cqu.edu.cn/newsv2/show-24-370-1.html
“红岩讲坛”（第三讲）开讲啦！	红岩讲坛	沈震	2017-10-12	http://news.cqu.edu.cn/newsv2/show-24-368-1.html
朱昌宝：先进储能材料中的固态离子学研究		朱昌宝	2017-10-12	http://news.cqu.edu.cn/newsv2/show-24-373-1.html
BIM的现状分析和招投标阶段的形势分析	重大讲座	王金龙经理	2017-10-11	http://news.cqu.edu.cn/newsv2/show-24-371-1.html
“华为如何应对未来的挑战” 主题讲座		黄卫伟	2017-09-28	http://news.cqu.edu.cn/newsv2/show-24-362-1.html
“红岩讲坛”（第二讲）开讲啦！	红岩讲坛	姚树洁	2017-09-28	http://news.cqu.edu.cn/newsv2/show-24-364-1.html
倾斜摄影测量及其典型应用	重大讲座	朱庆教授	2017-09-28	http://news.cqu.edu.cn/newsv2/show-24-366-1.html
《公路桥梁抗震设计细则》的修编与解读	重大讲座	唐光武 研究员	2017-09-27	http://news.cqu.edu.cn/newsv2/show-24-365-1.html
余涛关于混合纤维增强聚合物钢管混凝土构件报告会	重大讲座	余涛(高级讲师)	2017-09-26	http://news.cqu.edu.cn/newsv2/show-24-360-1.html
Lip Teh副教授关于螺栓连接及结构工程研究的展望报告会	重大讲座	Lip Teh(副教授)	2017-09-26	http://news.cqu.edu.cn/newsv2/show-24-361-1.html
美国密歇根大学汽车专家讲座	汽车工程前沿讲坛	彭晖	2017-09-26	http://news.cqu.edu.cn/newsv2/show-24-350-1.html
公管讲坛第53讲：中国的民族问题与国家安全	公管讲坛	李俊清	2017-09-24	http://news.cqu.edu.cn/newsv2/show-24-348-1.html
China-Japan Seminar On Structural design of Tall Building	重大讲座	A/Prof. Chuanguo Jia	2017-09-23	http://news.cqu.edu.cn/newsv2/show-24-359-1.html
高空读城：“爬楼党”眼中的魔幻重庆	重大讲座	万展志	2017-09-23	http://news.cqu.edu.cn/newsv2/show-24-347-1.html
China-Japan Seminar On Structural design of Tall Building	重大讲座	Mr. Masatoshi Tamari	2017-09-23	http://news.cqu.edu.cn/newsv2/show-24-356-1.html
China-Japan Seminar On Structural design of Tall Building	重大讲座	Mr. Takehito Kumano	2017-09-23	http://news.cqu.edu.cn/newsv2/show-24-358-1.html
China-Japan Seminar On Structural design of Tall Building	重大讲座	Mr. Masaharu Yasuda	2017-09-23	http://news.cqu.edu.cn/newsv2/show-24-355-1.html
China-Japan Seminar On Structural design of Tall Building	重大讲座	Prof. Yingmin Li	2017-09-23	http://news.cqu.edu.cn/newsv2/show-24-354-1.html
China-Japan Seminar On Structural design of Tall Building	重大讲座	Prof. Akira Wada	2017-09-23	http://news.cqu.edu.cn/newsv2/show-24-353-1.html
牛志升教授谈信息物理系统中的数据包传输优化策略	重大讲座	牛志升教授 清华大学	2017-09-22	http://news.cqu.edu.cn/newsv2/show-24-352-1.html
江涛教授谈面向未来移动通信的编码与调制技术	重大讲座	江涛教授 华中科技大学	2017-09-22	http://news.cqu.edu.cn/newsv2/show-24-351-1.html
